SMILES,EC50,2-Class,Structure
O=CC1CC=CCC1,130.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a0200>
Cl/C=C\CCl,4.5,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0350>
CC(C)Nc1ccc(Nc2ccccc2)cc1,0.98,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0270>
Nc1ccc(Oc2ccc(N)cc2)cc1,0.92,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0190>
CC1(C)[C@@H](/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,0.00022,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0eb0>
O=C(CS)OCC(COC(=O)CS)(COC(=O)CS)COC(=O)CS,0.4605,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1230>
CC(=O)OCC(COC(C)=O)OC(C)=O,380.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a0120>
CC(C)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.006,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a12a0>
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,0.0063,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1380>
O=C=Nc1ccc(N=C=O)cc1,4.46,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a15b0>
O=C/C=C/c1ccccc1,107.01,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a00b0>
CCc1ccc(CC)cc1,6.0,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a10e0>
NCl,0.016,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0d60>
O=C1C=CC(=O)C=C1,0.09472651,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0ac0>
C=C(C)C(=O)OCC1CO1,24.9,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a0430>
CCC#N,250.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a03c0>
O=CC=O,154.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a02e0>
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,9.1941,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0b30>
COCC(C)OC(C)=O,408.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a13f0>
Cc1cc(C)cc(C)c1,6.0,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1310>
CC(C)CC(=O)CC(C)C,164.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1150>
CNCCO,33.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1cb0>
CCCCCCC(=O)O,72.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a14d0>
CCCCCCCCS,0.024,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a18c0>
C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@@H]4[C@@](O)(C(=O)OC)OC[C@@]14[C@@H]32,0.625,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1930>
C=CCOC(=O)CC(C)=O,38.317,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a19a0>
CCCCCCCC(=O)N(C)C,7.7,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1a10>
N#CN=C1SCCN1Cc1ccc(Cl)nc1,88.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1a80>
CCCCOCCOC(C)=O,143.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1af0>
CCCCCCOCCO,305.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1b60>
CCCCCCCCCCO,8.24,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1bd0>
CCCCCCCCCCCCCCCCN(C)C,0.11,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1c40>
CCCCCCCC/C=C/CCCCCCCC(=O)O,2.88114708,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1d20>
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,7.2,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1d90>
CC1(C)[C@@H]2CC[C@]1(C)[C@@H](OC(=O)CSC#N)C2,0.09,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1e00>
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.1400000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1e70>
Cc1ccc(N)cc1S(=O)(=O)O,481.637,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1ee0>
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.000298,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1f50>
c1ccc2cc3ccccc3cc2c1,0.0154011135,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1fc0>
O=C(OCc1ccccc1)c1ccccc1,7.77,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2030>
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,82.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a20a0>
Cc1cc(C2CC2)nc(Nc2ccccc2)n1,0.0328,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2110>
CCCCC/C(C=O)=C/c1ccccc1,1.0230000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2180>
OCCOc1ccccc1,488.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a21f0>
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.6819999999999999,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2260>
COc1ccc(C=O)cc1,82.8,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a22d0>
O=C(CS)OCCOC(=O)CS,0.4605,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2340>
CC(C)(N)CO,193.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a23b0>
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,0.09,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2420>
O=[Cr]O[Cr]=O,18.63,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2490>
O=[Ge]=O,67.5,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2500>
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0.02,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2570>
Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,0.27,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a25e0>
Fc1ccc([C@@]2(Cn3cncn3)O[C@H]2c2ccccc2Cl)cc1,5.3282,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2650>
OBr,0.061,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a26c0>
S=C(SN1CCOCC1)N1CCOCC1,1.6,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2730>
FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)F,11.7,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a27a0>
NCCO,66.7,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2810>
CC(=O)C=C(C)C,89.1,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2880>
CC1CNCC(C)O1,187.35,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a28f0>
CO/N=C(\C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1,0.0134,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2960>
C=C(C)C(=O)OCCCCCC,16.5,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a29d0>
C=CCOC(=O)OCCOCCOC(=O)OCC=C,18.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2a40>
CCCCCC(=O)O,72.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2ab0>
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,25.2,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2b20>
CCCCC(CC)C(=O)O,85.4,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2b90>
CC(=O)/C=C/C1=C(C)CCCC1(C)C,1.999,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2c00>
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,14.3,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2c70>
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,87.1,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2ce0>
CNC(=O)Oc1cccc2c1OC(C)(C)C2,0.059,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2d50>
CC(C)Cc1ccc(C(C)C(=O)O)cc1,124.4,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2dc0>
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,0.01208,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2e30>
CCCCCCCCCCCCCCCCCCCCCC(=O)O,0.28,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2ea0>
CC(C)CCCCCO,31.8,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2f10>
O=P(O)(O)CCCl,127.75,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2f80>
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.7,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2ff0>
CNC(=O)O/N=C(\C)SC,0.0287,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3060>
CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)O,6.35,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a30d0>
O=C(Oc1ccccc1)c1ccc(O)cc1,4.0,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3140>
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,0.64,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a31b0>
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0272,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3220>
CCCCC(CC)COC(=O)[C@H](C)O,58.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a3290>
Clc1cccc(C(Cl)(Cl)Cl)n1,3.99,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3300>
CNC.O=C(O)COc1ccc(Cl)cc1Cl,184.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a3370>
c1ccc2c(c1)ccc1c3ccccc3oc21,4.0,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a33e0>
C=C(C)c1cccc(C(=O)N=C(C)C)c1,1.9,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3450>
CSc1nnc(C(C)(C)C)c(=O)n1N,49.6,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a34c0>
Clc1cc(Cl)c(Cl)nc1Cl,1.93,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3530>
CCCCCCCCC1CO1,0.171,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a35a0>
CC(=O)O.CCCCCCCCCCCCN=C(N)N,0.0529,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3610>
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,0.406,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3680>
Cc1cc(N)ccc1N,4.26,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a36f0>
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,20.35,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a3760>
N/C(=N\N=C\c1ccc(Cl)cc1)N/N=C/c1ccc(Cl)cc1,0.075,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a37d0>
CCCCCCCCCc1ccc(OCCO)cc1,18.2,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a3840>
O=c1[nH]sc2ccccc12,2.94,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a38b0>
CCCCCCCCn1sccc1=O,0.18,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3920>
CCCCCCCCN1CCCC1=O,7.59,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3990>
CCCCCCCCCCCCN1CCCC1=O,0.20450000000000002,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3a00>
ClC1=C(Cl)C2(Cl)C3C4OC4(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,1.3,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3a70>
CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1,5.2,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3ae0>
Cc1cc(O)ccc1N,0.2,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3b50>
CCCCCCCCCCC1CO1,0.171,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3bc0>
CC(C)(C)c1ccccc1OP(=O)(Oc1ccccc1C(C)(C)C)Oc1ccccc1C(C)(C)C,3.9,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3c30>
CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,0.41000000000000003,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3ca0>
ClC(Cl)c1ccccc1,6.5,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3d10>
CCOP(=S)(OCC)SCSCC,0.0195,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3d80>
NC(=O)N1c2ccccc2C=Cc2ccccc21,111.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a3df0>
CN(C)CCN(C)CCN(C)C,76.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a3e60>
CC(C)CCC(C)Nc1ccc(Nc2ccccc2)cc1,0.20500000000000002,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3ed0>
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,1.0,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a3f40>
O=C=Nc1ccccc1Cl,0.64,1,<rdkit.Chem.rdchem.Mol object at 0x308510040>
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1.52,1,<rdkit.Chem.rdchem.Mol object at 0x3085100b0>
N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N,0.12,1,<rdkit.Chem.rdchem.Mol object at 0x308510120>
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,235.29094214999998,0,<rdkit.Chem.rdchem.Mol object at 0x308510190>
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,258.5854089,0,<rdkit.Chem.rdchem.Mol object at 0x308510200>
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,0.3158850795,1,<rdkit.Chem.rdchem.Mol object at 0x308510270>
CCCCCCCCCCCCCCCCOC(=O)C(C)O,0.058,1,<rdkit.Chem.rdchem.Mol object at 0x3085102e0>
CCCCCCCCSCCO,0.38,1,<rdkit.Chem.rdchem.Mol object at 0x308510350>
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,4.9,1,<rdkit.Chem.rdchem.Mol object at 0x3085103c0>
CCCCCCCC1=NCCN1CCO,0.29,1,<rdkit.Chem.rdchem.Mol object at 0x308510430>
Nc1ccc(F)cc1,2.333,1,<rdkit.Chem.rdchem.Mol object at 0x3085104a0>
CN(C)C12CC3CC(CC(C3)C1)C2,119.0,0,<rdkit.Chem.rdchem.Mol object at 0x308510510>
CC(C)(N)CO.CCCCCCCCCCCCc1ccccc1S(=O)(=O)O,193.0,0,<rdkit.Chem.rdchem.Mol object at 0x308510580>
C=C(C)c1cccc(C(=C)C)c1,4.0,1,<rdkit.Chem.rdchem.Mol object at 0x3085105f0>
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,100.56316575,0,<rdkit.Chem.rdchem.Mol object at 0x308510660>
CC(C)N.O=C(O)CNCP(=O)(O)O,111.05,0,<rdkit.Chem.rdchem.Mol object at 0x3085106d0>
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,0.00123,1,<rdkit.Chem.rdchem.Mol object at 0x308510740>
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14.5,0,<rdkit.Chem.rdchem.Mol object at 0x3085107b0>
CC(C)OC(=O)c1ccc(O)cc1,8.5,1,<rdkit.Chem.rdchem.Mol object at 0x308510820>
N#CN,6.550000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x308510890>
O=C(c1ccc(O)cc1)c1ccc(Cl)cc1,7.98,1,<rdkit.Chem.rdchem.Mol object at 0x308510900>
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,7.097,1,<rdkit.Chem.rdchem.Mol object at 0x308510970>
C=CC(=O)OCC(C)CC,7.5,1,<rdkit.Chem.rdchem.Mol object at 0x3085109e0>
CCOP(=O)(OCC)O/C(=C\Cl)c1ccc(Cl)cc1Cl,9.285,1,<rdkit.Chem.rdchem.Mol object at 0x308510a50>
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,2.97,1,<rdkit.Chem.rdchem.Mol object at 0x308510ac0>
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0.001624907,1,<rdkit.Chem.rdchem.Mol object at 0x308510b30>
CC1(C)COCN1,51.0,0,<rdkit.Chem.rdchem.Mol object at 0x308510ba0>
CCC1O[C@]2(CCC1C)C[C@@H]1C[C@@H](C/C=C(\C)CC(C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0.42,1,<rdkit.Chem.rdchem.Mol object at 0x308510c10>
CCCCCCCCCc1ccccc1OCCO.O=P(O)(O)O,19.5,0,<rdkit.Chem.rdchem.Mol object at 0x308510c80>
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,13.04,0,<rdkit.Chem.rdchem.Mol object at 0x308510cf0>
c1ccc2c(NCCCN3CCOCC3)cccc2c1,5.1,1,<rdkit.Chem.rdchem.Mol object at 0x308510d60>
CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,0.0049,1,<rdkit.Chem.rdchem.Mol object at 0x308510dd0>
CCCN(CCC)C(=O)SCc1ccccc1,1.75,1,<rdkit.Chem.rdchem.Mol object at 0x308510e40>
Cc1cc(C)nc(Nc2ccccc2)n1,10.4,0,<rdkit.Chem.rdchem.Mol object at 0x308510eb0>
CC(=O)OC1CC2CC1C1CC=CC21,15.795,0,<rdkit.Chem.rdchem.Mol object at 0x308510f20>
Cn1sc(Cl)cc1=O.Cn1sccc1=O,0.18,1,<rdkit.Chem.rdchem.Mol object at 0x308510f90>
O=C1Cc2ccc(Cl)cc2N1,0.007,1,<rdkit.Chem.rdchem.Mol object at 0x308511000>
COC(=O)[C@@]1(Cl)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,3.15,1,<rdkit.Chem.rdchem.Mol object at 0x308511070>
COC(=O)[C@@]1(Cl)C(Cl)CC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,2.275,1,<rdkit.Chem.rdchem.Mol object at 0x3085110e0>
C[C@@H]1[C@@H](CN)C[C@H]2C[C@@H]1C2(C)C,1.7,1,<rdkit.Chem.rdchem.Mol object at 0x308511150>
CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)c2ccccc2C1=O,0.00966,1,<rdkit.Chem.rdchem.Mol object at 0x3085111c0>
Cn1c(=O)c2c(ncn2C)n(C)c1=O,179.745,0,<rdkit.Chem.rdchem.Mol object at 0x308511230>
CCOP(O)(=S)OCC,100.0,0,<rdkit.Chem.rdchem.Mol object at 0x3085112a0>
Nc1ncn[nH]1,18.0,0,<rdkit.Chem.rdchem.Mol object at 0x308511310>
N#CC(O)c1cccc(Oc2ccccc2)c1,0.9,1,<rdkit.Chem.rdchem.Mol object at 0x308511380>
CC(=O)OCC(C)OC(C)=O,237.0,0,<rdkit.Chem.rdchem.Mol object at 0x3085113f0>
CCCCCOC(=O)CC,60.0,0,<rdkit.Chem.rdchem.Mol object at 0x308511460>
O=C(O)C(Br)Br,254.4,0,<rdkit.Chem.rdchem.Mol object at 0x3085114d0>
C=C(C)[C@@H]1CC=C(C)C(=O)C1,38.0,0,<rdkit.Chem.rdchem.Mol object at 0x308511540>
CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,0.00027,1,<rdkit.Chem.rdchem.Mol object at 0x3085115b0>
CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.000297,1,<rdkit.Chem.rdchem.Mol object at 0x308511620>
CC(Cc1ccc(C(C)(C)C)cc1)CN1C[C@H](C)O[C@H](C)C1,3.0509,1,<rdkit.Chem.rdchem.Mol object at 0x308511690>
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,4.23965,1,<rdkit.Chem.rdchem.Mol object at 0x308511700>
CC1(C)C(/C=C(\Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.027,1,<rdkit.Chem.rdchem.Mol object at 0x308511770>
Cc1cccc(C(=O)O)c1,19.226,0,<rdkit.Chem.rdchem.Mol object at 0x3085117e0>
CC1CCCC(C)C1N,36.29,0,<rdkit.Chem.rdchem.Mol object at 0x308511850>
