SMILES,EC50,2-Class,Structure
CCCCCCCCCN(CCCCCCCCC)CCCCCCCCC,0.143,1,<rdkit.Chem.rdchem.Mol object at 0x3085118c0>
CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)Oc2ccc(C(C)C)cc2)cc1,1.97,1,<rdkit.Chem.rdchem.Mol object at 0x308511930>
CNC(=O)/C=C(\C)OP(=O)(OC)OC,0.388,1,<rdkit.Chem.rdchem.Mol object at 0x3085119a0>
CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,6.02,1,<rdkit.Chem.rdchem.Mol object at 0x308511a10>
CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,3.05,1,<rdkit.Chem.rdchem.Mol object at 0x308511a80>
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,0.825,1,<rdkit.Chem.rdchem.Mol object at 0x308511af0>
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,0.43999999999999995,1,<rdkit.Chem.rdchem.Mol object at 0x308511b60>
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,0.024,1,<rdkit.Chem.rdchem.Mol object at 0x308511bd0>
C#N,0.13,1,<rdkit.Chem.rdchem.Mol object at 0x308511c40>
CS(=O)(=O)O,260.0,0,<rdkit.Chem.rdchem.Mol object at 0x308511cb0>
CC(C)(O)C#N,0.13,1,<rdkit.Chem.rdchem.Mol object at 0x308511d20>
CN(C1CCCCC1)C1CCCCC1,75.0,0,<rdkit.Chem.rdchem.Mol object at 0x308511d90>
CCCCC(CC)COC(=O)CS,0.38,1,<rdkit.Chem.rdchem.Mol object at 0x308511e00>
CC(C)(C)OCC1CO1,14.9,0,<rdkit.Chem.rdchem.Mol object at 0x308511e70>
CC(C)(C)[C@@H](O)C(Cc1ccc(Cl)cc1)n1cncn1.CC(C)(C)[C@H](O)C(Cc1ccc(Cl)cc1)n1cncn1,27.15,0,<rdkit.Chem.rdchem.Mol object at 0x308511ee0>
CC(O)COc1ccccc1,370.0,0,<rdkit.Chem.rdchem.Mol object at 0x308511f50>
O=[As](O)(O)O,25.63,0,<rdkit.Chem.rdchem.Mol object at 0x308511fc0>
CCCCSP(=O)(SCCCC)SCCCC,0.00663,1,<rdkit.Chem.rdchem.Mol object at 0x308512030>
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,0.125,1,<rdkit.Chem.rdchem.Mol object at 0x3085120a0>
CC(=O)OO,0.895,1,<rdkit.Chem.rdchem.Mol object at 0x308512110>
CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O,0.91,1,<rdkit.Chem.rdchem.Mol object at 0x308512180>
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,1.1480000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x3085121f0>
Cc1c(F)c(F)c(COC(=O)C2C(/C=C(\Cl)C(F)(F)F)C2(C)C)c(F)c1F,7.95e-05,1,<rdkit.Chem.rdchem.Mol object at 0x308512260>
CCCC(C)C1OCC(C)(CCC)CO1,2.2969999999999997,1,<rdkit.Chem.rdchem.Mol object at 0x3085122d0>
O=C1c2ccccc2C(=O)c2ccccc21,0.230840751,1,<rdkit.Chem.rdchem.Mol object at 0x308512340>
CC(C)CCCCCCc1ccc(O)cc1,0.0677,1,<rdkit.Chem.rdchem.Mol object at 0x3085123b0>
COP(=S)(OC)SCn1nnc2ccccc2c1=O,0.0044,1,<rdkit.Chem.rdchem.Mol object at 0x308512420>
c1ccc2c(c1)[nH]c1ccccc12,3.35,1,<rdkit.Chem.rdchem.Mol object at 0x308512490>
Cc1cccc(C)c1N,20.0,0,<rdkit.Chem.rdchem.Mol object at 0x308512500>
CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,4.052,1,<rdkit.Chem.rdchem.Mol object at 0x308512570>
CCCCCCCCCCCCOCCO,6.46,1,<rdkit.Chem.rdchem.Mol object at 0x3085125e0>
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,11.2,0,<rdkit.Chem.rdchem.Mol object at 0x308512650>
CCCCCCCCCc1ccc(OCCOCCO)cc1,12.2,0,<rdkit.Chem.rdchem.Mol object at 0x3085126c0>
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,8.6,1,<rdkit.Chem.rdchem.Mol object at 0x308512730>
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,2.0,1,<rdkit.Chem.rdchem.Mol object at 0x3085127a0>
O=C(OCc1ccccc1)c1ccc(O)cc1,4.0,1,<rdkit.Chem.rdchem.Mol object at 0x308512810>
O=C1C=CC(=O)N1c1ccccc1,1.4,1,<rdkit.Chem.rdchem.Mol object at 0x308512880>
c1ccc2sc(SNC3CCCCC3)nc2c1,18.0,0,<rdkit.Chem.rdchem.Mol object at 0x3085128f0>
Nc1ccccc1N,11.9,0,<rdkit.Chem.rdchem.Mol object at 0x308512960>
Cc1ccc(N)c(C)c1,9.9,1,<rdkit.Chem.rdchem.Mol object at 0x3085129d0>
Cc1cc(O)ccc1O,0.35,1,<rdkit.Chem.rdchem.Mol object at 0x308512a40>
O=S1OC[C@@H]2[C@H](CO1)C1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,1.18,1,<rdkit.Chem.rdchem.Mol object at 0x308512ab0>
c1ccc(C2CO2)cc1,11.6,0,<rdkit.Chem.rdchem.Mol object at 0x308512b20>
ClCC(Cl)CCl,33.8,0,<rdkit.Chem.rdchem.Mol object at 0x308512b90>
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,0.7,1,<rdkit.Chem.rdchem.Mol object at 0x308512c00>
CC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1.O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.5,1,<rdkit.Chem.rdchem.Mol object at 0x308512c70>
CC(=O)c1ccccc1,162.0,0,<rdkit.Chem.rdchem.Mol object at 0x308512ce0>
CN(C)C1CCCCC1,75.0,0,<rdkit.Chem.rdchem.Mol object at 0x308512d50>
CC1COc2ccccc2N1C(=O)C(Cl)Cl,8.126000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x308512dc0>
CC(=O)c1cccc(N)c1,39.033,0,<rdkit.Chem.rdchem.Mol object at 0x308512e30>
Cc1ccc(N(C)C)cc1,15.259,0,<rdkit.Chem.rdchem.Mol object at 0x308512ea0>
CCCCP(CCCC)CCCC,9.2,1,<rdkit.Chem.rdchem.Mol object at 0x308512f10>
CCCCC1CCC(=O)O1,70.79,0,<rdkit.Chem.rdchem.Mol object at 0x308512f80>
C=Cn1ccnc1,190.77,0,<rdkit.Chem.rdchem.Mol object at 0x308512ff0>
c1ccsc1,318.0,0,<rdkit.Chem.rdchem.Mol object at 0x308513060>
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F,0.001,1,<rdkit.Chem.rdchem.Mol object at 0x3085130d0>
CC1=NNC(=O)N(/N=C/c2cccnc2)C1,87.0,0,<rdkit.Chem.rdchem.Mol object at 0x308513140>
COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,207.15,0,<rdkit.Chem.rdchem.Mol object at 0x3085131b0>
COC(=O)NS(=O)(=O)c1ccc(N)cc1,63.4,0,<rdkit.Chem.rdchem.Mol object at 0x308513220>
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,30.3,0,<rdkit.Chem.rdchem.Mol object at 0x308513290>
Cc1cccc2[nH]c(=S)[nH]c12,1.9,1,<rdkit.Chem.rdchem.Mol object at 0x308513300>
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,55.525,0,<rdkit.Chem.rdchem.Mol object at 0x308513370>
CC(C)(C)CCCCCCCC(=O)O,47.1,0,<rdkit.Chem.rdchem.Mol object at 0x3085133e0>
CC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1C(C)C,2.44,1,<rdkit.Chem.rdchem.Mol object at 0x308513450>
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,234.18,0,<rdkit.Chem.rdchem.Mol object at 0x3085134c0>
C=CC(=O)OCCOCCOCC,10.56,0,<rdkit.Chem.rdchem.Mol object at 0x308513530>
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,141.2,0,<rdkit.Chem.rdchem.Mol object at 0x3085135a0>
CC(=O)c1cccc2ccccc12,11.8,0,<rdkit.Chem.rdchem.Mol object at 0x308513610>
c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,4.180000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x308513680>
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,55.7,0,<rdkit.Chem.rdchem.Mol object at 0x3085136f0>
O=C=Nc1ccc(Cl)cc1,0.05,1,<rdkit.Chem.rdchem.Mol object at 0x308513760>
CC(O)CCC1CCCCC1,12.2,0,<rdkit.Chem.rdchem.Mol object at 0x3085137d0>
CC1CCC(C(C)C)C(=O)C1,12.9,0,<rdkit.Chem.rdchem.Mol object at 0x308513840>
CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,41.36123717,0,<rdkit.Chem.rdchem.Mol object at 0x3085138b0>
CCCOC(=O)c1cc(O)c(O)c(O)c1,37.77,0,<rdkit.Chem.rdchem.Mol object at 0x308513920>
CCC(=O)OCc1ccccc1,20.074,0,<rdkit.Chem.rdchem.Mol object at 0x308513990>
O=C(c1ccccc1)c1ccc(Cl)cc1,2.93,1,<rdkit.Chem.rdchem.Mol object at 0x308513a00>
Nc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O,240.768,0,<rdkit.Chem.rdchem.Mol object at 0x308513a70>
Cc1cc(Nc2ccccc2C(=O)O)ccc1Cl,7.73,1,<rdkit.Chem.rdchem.Mol object at 0x308513ae0>
CC(=O)Oc1ccc(C)cc1,53.43,0,<rdkit.Chem.rdchem.Mol object at 0x308513b50>
C=CCc1ccc(OC)cc1,8.87,1,<rdkit.Chem.rdchem.Mol object at 0x308513bc0>
CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(CC3C=NC=N3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1.[Zn],30.48,0,<rdkit.Chem.rdchem.Mol object at 0x308513c30>
CCNC(=S)OC(C)C,17.0,0,<rdkit.Chem.rdchem.Mol object at 0x308513ca0>
CCOC(=O)C[C@H](SP(=O)(OC)SC)C(=O)OCC,0.004345,1,<rdkit.Chem.rdchem.Mol object at 0x308513d10>
CCOC(=O)C[C@@H](SP(=O)(OC)SC)C(=O)OCC,0.003475,1,<rdkit.Chem.rdchem.Mol object at 0x308513d80>
O=C(O)C1CCCN1,0.513,1,<rdkit.Chem.rdchem.Mol object at 0x308513df0>
COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.04,1,<rdkit.Chem.rdchem.Mol object at 0x308513e60>
Nc1ccc(Nc2ccc(S(N)(=O)=O)cc2)cc1,56.09,0,<rdkit.Chem.rdchem.Mol object at 0x308513ed0>
CC(=O)CCC1=C(C)CCCC1(C)C,5.72,1,<rdkit.Chem.rdchem.Mol object at 0x308513f40>
C=C(C)C(=O)OCCCCCCCC,4.79,1,<rdkit.Chem.rdchem.Mol object at 0x308594040>
CC(C)CCCCCOC(=O)CS,0.39,1,<rdkit.Chem.rdchem.Mol object at 0x3085940b0>
C=O.Nc1ccccc1,0.57,1,<rdkit.Chem.rdchem.Mol object at 0x308594120>
CN(C)Cc1ccccc1O,73.0,0,<rdkit.Chem.rdchem.Mol object at 0x308594190>
O=C=Nc1ccc(Cl)cc1Cl,1.7750000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x308594200>
CC1(C)CCC2OC23C(C)(C)C2CCC13C2,1.8,1,<rdkit.Chem.rdchem.Mol object at 0x308594270>
CCC(C)(CCC(C)C)C(=O)O,47.1,0,<rdkit.Chem.rdchem.Mol object at 0x3085942e0>
CC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,0.25,1,<rdkit.Chem.rdchem.Mol object at 0x308594350>
O=C=Nc1cccc(Cl)c1,0.35,1,<rdkit.Chem.rdchem.Mol object at 0x3085943c0>
CC(N)C(=O)O,0.40149999999999997,1,<rdkit.Chem.rdchem.Mol object at 0x308594430>
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,47.595,0,<rdkit.Chem.rdchem.Mol object at 0x3085944a0>
C=CSC(C)O,50.1,0,<rdkit.Chem.rdchem.Mol object at 0x308594510>
CCCCC(CC)COC(=O)c1cc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)cc1C(=O)OCC(CC)CCCC,0.001,1,<rdkit.Chem.rdchem.Mol object at 0x308594580>
COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,0.0701,1,<rdkit.Chem.rdchem.Mol object at 0x3085945f0>
CCCCCCCCCCCCC1CO1,0.095,1,<rdkit.Chem.rdchem.Mol object at 0x308594660>
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,3.96,1,<rdkit.Chem.rdchem.Mol object at 0x3085946d0>
O=C(O)c1ccc(C(F)(F)F)cc1O,22.296,0,<rdkit.Chem.rdchem.Mol object at 0x308594740>
NCCCNC1CCCCC1,17.1,0,<rdkit.Chem.rdchem.Mol object at 0x3085947b0>
CCOC(=O)CC(SP(=O)(OC)SC)C(=O)OCC,0.00233,1,<rdkit.Chem.rdchem.Mol object at 0x308594820>
O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F.[K],186.61,0,<rdkit.Chem.rdchem.Mol object at 0x308594890>
CC(=O)Oc1cc(OC(C)=O)cc(C(C)=O)c1,14.0,0,<rdkit.Chem.rdchem.Mol object at 0x308594900>
CC(C)CCCCCCCCCCN(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,0.618,1,<rdkit.Chem.rdchem.Mol object at 0x308594970>
O=C(O)C(F)F,235.793,0,<rdkit.Chem.rdchem.Mol object at 0x3085949e0>
CC(=O)Nc1cc(S(=O)(=O)O)cc(N)c1O,196.2,0,<rdkit.Chem.rdchem.Mol object at 0x308594a50>
CC(C)COC(=O)c1ccc(O)cc1,17.328,0,<rdkit.Chem.rdchem.Mol object at 0x308594ac0>
COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,0.0167,1,<rdkit.Chem.rdchem.Mol object at 0x308594b30>
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,4.00944672,1,<rdkit.Chem.rdchem.Mol object at 0x308594ba0>
CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O,2.31398416,1,<rdkit.Chem.rdchem.Mol object at 0x308594c10>
c1coc(CNc2ncnc3nc[nH]c23)c1,1.27,1,<rdkit.Chem.rdchem.Mol object at 0x308594c80>
Cc1cccc(O)c1C,11.2,0,<rdkit.Chem.rdchem.Mol object at 0x308594cf0>
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,0.0010549565,1,<rdkit.Chem.rdchem.Mol object at 0x308594d60>
COc1ccc(CC(C)C=O)cc1,12.0,0,<rdkit.Chem.rdchem.Mol object at 0x308594dd0>
CN1CCC(Cl)CC1,142.902,0,<rdkit.Chem.rdchem.Mol object at 0x308594e40>
Cc1cc(=O)[nH]c(=S)[nH]1,1.738,1,<rdkit.Chem.rdchem.Mol object at 0x308594eb0>
CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,0.3,1,<rdkit.Chem.rdchem.Mol object at 0x308594f20>
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1.12131342,1,<rdkit.Chem.rdchem.Mol object at 0x308594f90>
C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,29.58458484,0,<rdkit.Chem.rdchem.Mol object at 0x308595000>
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,2.804496,1,<rdkit.Chem.rdchem.Mol object at 0x308595070>
O=C(O)c1cc(O)cc(C(=O)O)c1,383.949,0,<rdkit.Chem.rdchem.Mol object at 0x3085950e0>
COc1ccc(C=O)cc1O,32.03,0,<rdkit.Chem.rdchem.Mol object at 0x308595150>
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,1.82313948,1,<rdkit.Chem.rdchem.Mol object at 0x3085951c0>
N#Cc1ccc(Cl)cc1,12.080000000000002,0,<rdkit.Chem.rdchem.Mol object at 0x308595230>
OCCOCCCl,123.206,0,<rdkit.Chem.rdchem.Mol object at 0x3085952a0>
NC(Cc1ccccc1)C(=O)O,0.6144999999999999,1,<rdkit.Chem.rdchem.Mol object at 0x308595310>
CC(=S)N(C)C,417.0,0,<rdkit.Chem.rdchem.Mol object at 0x308595380>
CC(Cc1ccc(C(C)(C)C)cc1)CN1CCCCC1,2.23475,1,<rdkit.Chem.rdchem.Mol object at 0x3085953f0>
O=C(O)c1ccccc1O,111.7,0,<rdkit.Chem.rdchem.Mol object at 0x308595460>
Cc1cc(C)c(C)c(O)c1,11.2,0,<rdkit.Chem.rdchem.Mol object at 0x3085954d0>
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,187.48,0,<rdkit.Chem.rdchem.Mol object at 0x308595540>
C1=CC2C(C1)C1CC2C2C3C=CC(C3)C12,1.321,1,<rdkit.Chem.rdchem.Mol object at 0x3085955b0>
C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,48.1,0,<rdkit.Chem.rdchem.Mol object at 0x308595620>
CCN(CCO)CCCC(C)=O,100.0,0,<rdkit.Chem.rdchem.Mol object at 0x308595690>
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)C(C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,20.95,0,<rdkit.Chem.rdchem.Mol object at 0x308595700>
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,6.72,1,<rdkit.Chem.rdchem.Mol object at 0x308595770>
O=P(Cl)(Cl)Oc1ccccc1,7.4,1,<rdkit.Chem.rdchem.Mol object at 0x3085957e0>
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.N#CS,210.57,0,<rdkit.Chem.rdchem.Mol object at 0x308595850>
CCCCOC(=O)c1ccccc1N,2.01,1,<rdkit.Chem.rdchem.Mol object at 0x3085958c0>
BrP(Br)Br,72.888,0,<rdkit.Chem.rdchem.Mol object at 0x308595930>
CCC(N)=O,126.6,0,<rdkit.Chem.rdchem.Mol object at 0x3085959a0>
Oc1c(I)cc(I)c2cccnc12,10.378,0,<rdkit.Chem.rdchem.Mol object at 0x308595a10>
[2H]C(Cl)(Cl)Cl,79.0,0,<rdkit.Chem.rdchem.Mol object at 0x308595a80>
O=C(O)c1ccc(O)cc1O,120.0,0,<rdkit.Chem.rdchem.Mol object at 0x308595af0>
CC(C)(C)[C@H](O)[C@@H](Oc1ccc(Cl)cc1)n1cncn1,8.894,1,<rdkit.Chem.rdchem.Mol object at 0x308595b60>
C=CC(=O)NCO,98.0,0,<rdkit.Chem.rdchem.Mol object at 0x308595bd0>
CCC/C=C/CO,163.0,0,<rdkit.Chem.rdchem.Mol object at 0x308595c40>
CCCCOC(=O)c1ccc(O)cc1,5.3,1,<rdkit.Chem.rdchem.Mol object at 0x308595cb0>
CCNc1ccccc1C,25.6,0,<rdkit.Chem.rdchem.Mol object at 0x308595d20>
COc1ccc(S(=O)(=O)O)cc1N,120.552,0,<rdkit.Chem.rdchem.Mol object at 0x308595d90>
Nc1cc(S(=O)(=O)O)ccc1S(=O)(=O)O,240.768,0,<rdkit.Chem.rdchem.Mol object at 0x308595e00>
